		Total RNA				Ribosome-footprinted RNA			
	ftsZ	500.93	532.957	0.0894121	0.82035	1027.04	1020.33	-0.00945408	0.9842
	fucA	8.8872	9.92585	0.159462	0.6746	8.20379	7.99229	-0.0376828	0.9394
	fucI	15.4757	13.2924	-0.219399	0.5291	58.9804	52.6329	-0.164271	0.6672
	fucK	11.465	10.6427	-0.10737	0.76585	9.78434	10.6269	0.119178	0.78775
	fucO	18.8554	20.8373	0.144193	0.68095	66.0268	79.6365	0.270377	0.4929
	fucP	10.3925	7.77065	-0.419437	0.2473	0.833073	0.859668	0.0453371	0.94415
	fucR	52.4977	51.4851	-0.0280981	0.9374	86.1121	73.2299	-0.233783	0.5583
	fucU	24.6887	25.2751	0.0338626	0.92755	128.557	116.834	-0.137944	0.7352
	fumA	56.6106	77.7054	0.456942	1.98E-01	49.3587	167.518	1.76294	0.00005
	fumB	3.70029	4.46064	0.269613	0.4761	3.97961	13.2927	1.73994	0.00055
	fumC	19.5833	26.6591	0.445003	0.3097	43.968	72.5278	0.722079	0.12085
	fur	511.944	530.175	0.050481	0.8812	565.202	525.972	-0.103782	0.7903
	fusA	0	0	0	1	3764.35	3325.5	-0.17883	0.7484
	fxsA	9.59487	15.7416	0.714249	0.07425	29.6594	32.5101	0.132401	0.79325
	gabD	4.84625	4.42713	-0.130498	0.73335	13.4753	14.5722	0.112893	0.7876
	gabP	2.68884	2.91455	0.116289	0.77305	0.339279	0.310646	-0.127203	0.88495
	gabT	4.26471	4.172	-0.0317068	0.93095	7.59479	9.54046	0.329049	0.4624
	gadA	2.40783	1.68819	-0.512259	0.21025	1.72777	1.62791	-0.0858874	0.8745
	gadB	1.74962	1.3257	-0.400292	0.347	1.81884	2.25161	0.307935	0.5657
	gadC	1.51252	1.08923	-0.473645	0.27235	0.951267	0.911951	-0.0608941	0.9206
	gadE	0.769875	0.659507	-0.223236	0.7594	2.58479	1.31227	-0.97799	0.24535
	gadW	3.78341	3.16441	-0.257749	0.5495	5.5951	6.80638	0.282724	0.5759
	gadX	3.65342	3.37562	-0.114095	0.78815	6.19681	6.6903	0.110544	0.82395
	galE	512.063	563.914	0.139156	0.71745	1441.55	1565.55	0.119044	0.78645
	galF	313.22	306.522	-0.0311876	0.9337	393.501	381.427	-0.0449596	0.91355
	galK	717.867	764.881	0.0915191	0.88425	1848.2	1890.08	0.0323199	0.95435
	galM	610.557	653.321	0.097667	0.8913	761.816	773.56	0.0220712	0.98235
	galP	198.578	234.814	0.241813	0.52095	258.615	313.37	0.277062	0.4948
	galR	19.3623	17.8194	-0.119804	0.7366	17.2323	15.8301	-0.122445	0.7876
	galS	48.7835	48.8254	0.00123756	0.99805	81.3834	85.5278	0.0716604	0.91085
	galT	513.359	575.698	0.165343	0.6704	784.866	901.387	0.1997	0.63405
	galU	139.191	134.325	-0.0513444	0.8786	619.901	591.099	-0.0686398	0.86145
	gapA	743.301	842.021	0.179911	0.65085	3761.55	3785.87	0.00929657	0.98325
	gapC	55.0702	59.0351	0.100303	0.8808	11.2141	5.83869	-0.941591	0.5068
	garD	5.94025	4.34119	-0.452435	0.24585	5.75954	2.77009	-1.05602	0.03625
	garK	13.7644	10.8622	-0.341628	0.34855	4.73532	3.04993	-0.634686	0.21965
	garL	7.22202	3.71464	-0.959178	0.02525	16.8072	6.92853	-1.27846	0.01715
	garP	4.29127	1.86583	-1.20158	0.00385	3.40028	1.45709	-1.22256	0.03875
	garR	14.1652	8.46972	-0.741963	0.0588	40.4399	21.5852	-0.905738	0.04695
	gatA	105.334	121.669	0.207983	0.54905	133.279	102.738	-0.375476	0.37025
	gatB	207.524	256.395	0.30509	0.39035	1315.71	1646.27	0.323358	0.4209
	gatC	109.143	136.136	0.318822	0.36595	283.562	330.978	0.223071	0.58265
	gatD	56.6491	68.5413	0.27492	0.4233	284.201	278.717	-0.0281107	0.94395
	gatR	2.49604	1.79612	-0.474758	0.397	0.158243	0.265354	0.745775	1
	gatY	1163.48	1225.14	0.0744986	0.86005	5320.72	4372.31	-0.283225	0.55985
	gatZ	298.363	316.671	0.0859155	0.819	605.613	617.991	0.0291918	0.94575
	gcd	5.8112	5.44947	-0.0927209	0.80195	4.27928	4.48907	0.0690481	0.88005
	gcl	1.62265	0.952363	-0.768765	0.06915	1.37511	1.40408	0.0300807	0.95585
	gcvA	12.7131	13.4532	0.0816352	0.82395	8.07808	9.07046	0.167163	0.7207
	gcvH	640.691	694.766	0.116899	0.7408	3434.92	4993.25	0.539703	0.20095
	gcvP	205.518	231.07	0.169062	0.67905	118.994	139.717	0.231613	0.566
	gcvR	23.2336	24.8236	0.0955038	0.8707	42.1514	36.6303	-0.202544	0.8311
	gcvT	239.98	250.989	0.0647089	0.8559	356.018	308.916	-0.204734	0.6235
	gdhA	28.1291	30.803	0.131011	0.7052	17.8228	13.567	-0.393622	0.3464
	gfcA	24.1763	16.9343	-0.513647	0.22	43.2406	45.5846	0.0761581	0.874
	gfcB	2.61081	2.58004	-0.0171072	0.9877	0.199898	0.154033	-0.376027	0.859
	gfcC	3.91237	2.83697	-0.463691	0.5572	1.49847	0.631649	-1.2463	0.24775
	gfcD	2.701	2.23489	-0.273289	0.57105	0.538355	0.219579	-1.29382	0.3706
	gfcE	3.08978	2.74477	-0.17082	0.70455	6.22184	5.15576	-0.271157	0.6126
	ggt	3.17687	2.80632	-0.178924	0.64335	3.21614	2.65871	-0.274601	0.57695
	ghrA	19.382	19.5815	0.0147699	0.96815	80.1623	82.6394	0.043905	0.91705
	ghrB	24.7638	23.611	-0.0687739	0.8483	57.3233	67.1493	0.22825	0.5644
	glcA	2.69644	1.77807	-0.600738	0.1293	0.683994	0.483762	-0.499685	0.47765
	glcB	16.1392	15.7684	-0.0335372	0.92445	24.0949	25.4115	0.0767572	0.8418
	glcC	12.8838	12.4191	-0.052998	0.89385	8.64146	12.0235	0.476507	0.3275
	glcD	2.65334	1.69314	-0.648105	0.1835	0.115874	0.0722589	-0.681313	1
	glcE	2.04439	1.42965	-0.516011	0.4415	0.0456459	0.123906	1.44069	1
	glcF	8.01952	7.2533	-0.144878	0.7007	0.279191	0.23675	-0.237887	0.8149
	glcG	25.0876	22.8809	-0.132832	0.72295	126.632	126.314	-0.00363206	0.99325
	gldA	27.8668	28.1214	0.0131204	0.971	66.1909	71.6508	0.114349	0.7755
	glf	71.5829	58.9049	-0.281227	0.53505	761.587	560.991	-0.441032	0.3038
	glgA	101.721	116.56	0.196455	0.70995	38.8567	40.6333	0.0645006	0.94305
	glgB	62.1901	70.0296	0.171281	0.7512	16.8748	20.3498	0.270146	0.5563
	glgC	113.505	123.666	0.123689	0.81815	141.064	156.252	0.14752	0.76135
	glgP	100.751	108.277	0.103925	0.78985	25.0496	26.8368	0.0994278	0.809
	glgS	165.172	143.414	-0.203777	0.59315	369.758	353.826	-0.0635428	0.888
	glgX	68.5504	79.7887	0.219021	0.69035	6.12519	5.98984	-0.0322391	0.9729
	glk	47.908	49.9701	0.060799	0.86315	149.205	143.259	-0.0586688	0.87985
	glmM	192.215	180.533	-0.0904575	0.82115	488.53	451.052	-0.115153	0.7859
	glmS	209.84	183.833	-0.190887	0.6065	180.029	157.64	-0.191588	0.63285
	glmU	171.768	160.719	-0.0959193	0.789	203.16	187.119	-0.118656	0.7702
	glnA	122.161	142.733	0.224528	0.5373	306.613	297.453	-0.0437568	0.91475
	glnB	181.88	186.125	0.0332814	0.9248	1067.16	1057.78	-0.0127335	0.9735
	glnD	16.1254	15.6012	-0.0476778	0.88785	4.80119	5.25886	0.131359	0.7684
	glnE	37.9823	40.5353	0.0938498	0.79085	7.68877	7.95616	0.0493193	0.9042
	glnG	28.996	27.042	-0.100651	0.7723	13.658	12.2733	-0.154224	0.71755
	glnH	52.8282	47.2528	-0.160909	0.64275	365.21	300.049	-0.283528	0.4758
	glnK	0.953633	0.5315	-0.843366	1	0	0	0	1
	glnL	26.7793	25.3067	-0.0815959	0.81835	7.40307	7.22393	-0.0353394	0.9375
	glnP	24.3259	23.3097	-0.0615606	0.91345	23.1442	21.8573	-0.0825372	0.90355
	glnQ	28.3294	27.0966	-0.0641911	0.89215	32.3155	31.1904	-0.0511258	0.92095
	glnS	125.962	120.815	-0.0601805	0.8657	178.029	182.475	0.0355849	0.9298
	gloA	73.0628	67.0885	-0.123073	0.73585	1075.58	980.144	-0.134054	0.73805
	gloB	8.11545	7.45578	-0.122313	0.7529	46.7531	44.5197	-0.0706183	0.86475
	glpA	379.433	372.09	-0.0281946	0.96345	510.415	513.646	0.00910325	0.98645
	glpB	312.74	304.206	-0.0399141	0.96155	195.945	190.164	-0.0432059	0.96635
	glpC	195.636	186.187	-0.0714142	0.9512	171.726	158.554	-0.115135	0.92185
	glpD	1172.41	1183.99	0.0141789	0.9751	1847.9	1996.43	0.111539	0.8176
	glpE	80.5111	68.5091	-0.232892	0.53285	146.31	131.44	-0.154622	0.7151
	glpF	397.26	438.844	0.143627	0.7124	722.034	701.905	-0.040791	0.9199
	glpG	53.753	48.0809	-0.160882	0.648	42.6813	38.0697	-0.16496	0.68345
	glpK	896.445	941.052	0.0700592	0.8792	3100.99	2959.89	-0.0671831	0.8935
	glpQ	1365.5	1245.88	-0.132265	0.76365	1526.32	1466.71	-0.0574708	0.89245
	glpR	38.2708	35.0911	-0.125139	0.7557	52.649	36.6462	-0.522744	0.22275
	glpT	1219.37	1304.9	0.0978059	0.83075	1465.17	1769.6	0.272357	0.55175
	glpX	135.54	180.408	0.412547	0.2493	67.1688	68.6349	0.0311512	0.9384
	gltA	57.1416	70.6021	0.305168	0.3778	151.16	191.946	0.344623	0.3837
	gltB	12.9988	15.2226	0.227838	0.517	3.6063	7.50206	1.05677	0.01425
	gltD	21.2083	24.0359	0.180561	0.60385	5.60054	9.16929	0.711245	0.11795
	gltF	4.29144	3.071	-0.482754	0.25125	17.3407	16.5862	-0.0641747	0.8873
	gltI	54.209	61.1998	0.174995	0.61185	37.8079	27.9081	-0.438004	0.2813
	gltJ	14.693	13.8417	-0.0861092	0.901	3.59089	3.95151	0.138062	0.89185
	gltK	15.9846	16.0649	0.00722982	0.9909	3.63981	2.89698	-0.329314	0.7941
	gltL	21.6264	20.7958	-0.0565016	0.9224	16.8679	11.2005	-0.590723	0.27765
	gltP	34.8989	31.8426	-0.132223	0.69465	15.8453	15.4143	-0.0397833	0.92425
	gltS	27.2466	24.7935	-0.136118	0.6926	31.7171	23.7093	-0.419806	0.3038
	gltX	193.99	176.052	-0.139982	0.69945	349.593	293.618	-0.251735	0.5343
	glvC	4.69861	2.2511	-1.0616	0.2695	0.157917	0.141703	-0.156299	1
	glvG	26.5641	14.4219	-0.881218	0.54795	0.727739	1.24054	0.769474	1
	glxK	5.20124	3.42232	-0.603882	0.1238	2.2186	2.37579	0.0987531	0.8556
	glxR	1.34308	0.426434	-1.65515	0.00905	0.812147	1.05363	0.375562	0.61665
	glyA	382.354	364.366	-0.069521	0.8594	1118.74	970.587	-0.204947	0.63515
	glyQ	177.223	173.682	-0.0291199	0.93215	140.747	140.043	-0.00723208	0.9862
	glyS	227.791	215.495	-0.0800547	0.83125	218.663	200.496	-0.125136	0.76375
	gmd	2.27826	1.49898	-0.60395	0.16275	2.17076	1.50071	-0.532558	0.36155
	gmhB	40.3549	39.9505	-0.0145315	0.9671	127.4	118.645	-0.102716	0.7999
	gmk	150.221	142.903	-0.0720504	0.8326	70.9901	59.3715	-0.257847	0.54375
	gmm	4.08847	2.63676	-0.632798	0.36885	0.244132	0.623603	1.35297	0.4082
	gmr	3.86272	3.57874	-0.110166	0.7757	3.54887	3.29171	-0.10852	0.8167
	gnd	405.826	386.62	-0.0699448	0.85475	1168.17	966.732	-0.273061	0.53695
	gnsA	140.132	144.72	0.0464839	0.91145	2342.91	2355.49	0.00772645	0.9847
	gnsB	174.601	164.389	-0.0869499	0.845	3664.74	2950.16	-0.312917	0.45985
	gntK	13.6915	17.3661	0.342988	0.37225	24.8215	36.8063	0.568362	0.20495
	gntP	52.893	58.8262	0.153382	0.6504	74.0702	76.017	0.0374304	0.925
	gntR	32.5224	34.0136	0.0646813	0.8519	52.6045	51.4586	-0.0317729	0.94005
	gntT	38.4846	44.2425	0.201151	0.5682	16.1818	15.5125	-0.0609453	0.88485
	gntU	20.1888	23.3346	0.208918	0.54945	1.09169	1.20362	0.140813	0.8175
	gntX	48.4186	51.009	0.0751907	1	1.53535	0.497462	-1.62591	1
	gntX	1.33272	1.15443	-0.207186	0.93785	0.277769	1.45488	2.38894	0.5801
	gor	66.76	63.2902	-0.0770025	0.82295	79.6505	73.3063	-0.119747	0.7637
	gph	117.438	112.14	-0.0666059	0.92255	83.8168	88.4813	0.0781325	0.93645
	gpmA	233.905	265.143	0.18085	0.6078	1016.46	1183.2	0.21914	0.59295
	gpmM	101.531	104.792	0.0456086	0.9012	272.278	315.985	0.21478	0.6159
	gpp	38.7542	33.9186	-0.192277	0.58735	12.5611	11.1674	-0.16967	0.69095
	gpsA	233.684	245.752	0.0726431	0.8886	110.252	112.873	0.0338904	0.97575
	gpt	147.885	174.495	0.238712	0.49065	346.532	324.843	-0.0932485	0.8147
	greA	121.891	88.9494	-0.454531	0.24785	384.556	255.306	-0.590964	0.1719
	greB	38.3579	37.3557	-0.038197	0.91665	79.2351	76.6922	-0.04706	0.9093
	groL	713.031	997.869	0.484887	0.2931	2005.35	2993.1	0.577786	0.27315
	groS	697.229	1016.29	0.5436	0.14185	2791.19	4557.45	0.707345	0.1042
	grpE	329.173	387.311	0.234645	0.51205	1490.63	1881.18	0.335712	0.43655
	grxA	139.855	130.205	-0.103149	0.7783	642.369	620.381	-0.0502471	0.9001
	grxB	18.1557	18.2204	0.00513271	0.9888	99.6097	99.6436	0.000490173	0.99875
	grxC	566.61	561.42	-0.0132746	0.96955	1156.38	1230.64	0.089794	0.81465
	grxD	354.139	381.384	0.106928	0.7582	685.149	1291.13	0.914147	0.0228
	gshA	138.682	129.633	-0.097348	0.78355	104.007	95.8178	-0.118313	0.76265
	gshB	101.978	99.5582	-0.0346466	0.92185	168.362	185.368	0.138821	0.7282
	gsiA	9.4178	9.89132	0.0707715	0.88665	3.00717	3.64343	0.276889	0.70395
	gsiB	7.40586	8.88989	0.263497	0.4679	4.61506	4.52767	-0.0275807	0.9538
	gsiC	6.71433	7.24109	0.108963	0.77885	2.30446	2.19585	-0.0696499	0.90275
	gsiD	4.60423	4.18397	-0.138086	0.7316	2.52175	2.14523	-0.233291	0.67855
	gsk	44.9381	45.6451	0.0225212	0.9482	20.6593	19.8831	-0.0552486	0.892
	gsp	25.7329	27.5988	0.100993	0.7668	14.3907	18.8812	0.391819	0.33785
	gspA	1.71708	1.03499	-0.730341	0.1008	0.225041	0.102837	-1.12983	0.3615
	gspB	4.98976	3.36405	-0.568772	0.2537	1.75549	4.52913	1.36736	0.1151
	gspC	1.31254	0.869734	-0.593719	0.55225	0.20786	0.656258	1.65865	0.41125
	gspD	2.1256	1.50537	-0.49775	0.2501	0.46212	0.55443	0.262737	0.72665
	gspE	2.35571	1.83135	-0.363251	0.50235	0.202084	0.36827	0.865812	0.4633
	gspF	2.66365	2.53517	-0.0713246	0.8951	0.407604	0.292999	-0.476271	0.69975
	gspG	2.82722	1.22104	-1.21127	0.048	0.441488	1.82236	2.04536	0.0987
	gspH	1.96146	1.78485	-0.136129	0.9062	0.495994	0.0603822	-3.03813	0.33205
	gspI	2.16333	1.4536	-0.573625	0.7223	0.109872	0.14047	0.354437	1
	gspJ	2.95754	1.9141	-0.627728	0.49305	0.11626	0.112471	-0.0478017	1
	gspK	4.0134	3.47529	-0.207692	0.6748	0.583712	0.535406	-0.124624	0.8975
	gspL	2.55082	1.88084	-0.439588	0.51995	0.151435	0.34831	1.20167	0.52075
	gspM	4.93012	5.53639	0.167322	0.84285	2.05558	0.822094	-1.32217	0.37485
	gspO	7.1009	6.01367	-0.239755	0.666	1.75364	1.67416	-0.0669142	0.93555
	gst	41.1511	41.2036	0.00184248	0.9958	137.537	146.145	0.0875807	0.82485
	gtrB	40.2497	33.1862	-0.278394	0.5399	306.189	225.887	-0.438823	0.4128
	gtrS	17.5842	17.0487	-0.0446116	0.93225	154.767	94.6478	-0.709457	0.27475
	guaA	399.359	283.847	-0.492571	0.2226	544.393	372.295	-0.548202	0.2007
	guaB	428.667	367.627	-0.221612	0.6061	1220.35	1128.1	-0.113404	0.8112
	guaC	62.2336	53.2091	-0.226022	0.5176	85.9166	57.7443	-0.573258	0.15525
	guaD	3.82829	3.64382	-0.0712501	0.855	5.64332	5.59542	-0.0122968	0.9792
	gudD	6.33044	5.53857	-0.192791	0.6088	16.5102	14.1297	-0.224629	0.59325
	gudP	2.2588	1.25746	-0.845044	0.04895	1.28377	0.838267	-0.614902	0.3736
	gudX	4.12601	3.46651	-0.251263	0.51475	0.929615	0.487541	-0.931109	0.1891
	gutM	113.961	122.656	0.106076	0.7978	333.774	368.086	0.141174	0.77295
	gutQ	70.8204	75.4725	0.0917855	0.873	60.2102	66.7778	0.149362	0.79035
	gyrA	337.079	307.091	-0.13442	0.74025	312.43	277.699	-0.170009	0.68295
	gyrB	257.157	245.318	-0.0679959	0.8625	274.397	247.63	-0.148075	0.71905
	hcaB	3.52693	3.26828	-0.109881	0.905	0.869966	1.78117	1.03379	0.36115
	hcaC	7.24095	6.72776	-0.106052	0.9424	2.80481	4.33542	0.628268	0.64825
	hcaD	4.01241	4.02253	0.0036333	0.99285	1.38761	1.85317	0.41739	0.46525
	hcaE	6.55158	5.89468	-0.152431	0.739	0.68041	1.46323	1.10468	0.19435
	hcaF	4.64265	3.93332	-0.239199	0.8314	0.260051	0.683943	1.39508	0.629
	hcaR	10.5959	16.1385	0.606993	0.1025	6.38124	8.92565	0.484119	0.3078
	hcaT	20.1131	17.3022	-0.217175	0.66115	7.27194	6.00478	-0.276227	0.74195
	hchA	96.1824	122.066	0.34382	0.3844	337.977	436.648	0.369547	0.4283
	hcp	2.04422	1.61623	-0.338918	0.40085	0.449447	1.13778	1.34	0.0473
	hcr	3.84771	3.97897	0.0483936	0.9001	1.4671	2.35787	0.684516	0.2542
	hda	49.0539	48.6519	-0.0118725	0.9722	15.2815	15.1483	-0.0126348	0.9772
	hdeA	20.1787	19.7971	-0.0275392	0.9477	315.931	285.979	-0.1437	0.72725
	hdeB	6.74767	5.2984	-0.348833	0.5003	40.4453	36.7703	-0.137428	0.7709
	hdeD	2.80411	2.78304	-0.0108772	0.9815	7.71147	7.03396	-0.132669	0.79695
	hdfR	11.0258	12.5803	0.190287	0.61625	13.6824	18.1124	0.404653	0.3763
	hdhA	29.5111	40.4566	0.45512	0.2242	89.2286	124.914	0.485359	0.24655
	helD	22.4251	22.2672	-0.0101948	0.9776	20.0851	21.1633	0.0754362	0.8549
	hemA	52.9497	47.6849	-0.151092	0.6613	29.1612	28.9519	-0.0103944	0.97915
	hemB	109.392	98.0253	-0.158283	0.65095	227.224	179.466	-0.340404	0.39225
	hemC	109.379	110.334	0.0125373	0.9785	89.4839	95.5903	0.0952362	0.8276
	hemD	92.7144	87.3509	-0.0859707	0.88435	28.8713	31.8621	0.142205	0.88515
	hemE	74.7596	69.2736	-0.109953	0.74615	105.493	90.4381	-0.22215	0.57965
	hemF	23.9182	25.4524	0.0896883	0.80375	6.88982	8.52214	0.30675	0.51355
	hemG	41.6308	39.5091	-0.0754667	0.8335	110.214	97.4035	-0.178265	0.657
	hemH	25.7618	26.0232	0.0145619	0.96995	18.7529	19.382	0.0476044	0.93085
	hemL	122.427	119.573	-0.0340305	0.9213	192.972	179.104	-0.107594	0.78405
	hemN	72.3289	87.9164	0.28156	0.4477	26.122	48.42	0.890338	0.02935
	hemX	103.802	105.552	0.0241246	0.94235	130.909	136.688	0.0623211	0.87295
	hemY	132.227	136.549	0.0463963	0.89105	66.5207	71.2892	0.0998796	0.8021
	hepA	29.3196	26.0956	-0.168054	0.6265	17.809	11.44	-0.638524	0.1227
	hflC	83.4528	93.7177	0.16736	0.6299	93.2674	85.8589	-0.119405	0.76485
	hflD	131.798	128.185	-0.0401017	0.89925	62.6913	60.0779	-0.0614318	0.8816
	hflK	71.0813	78.0898	0.135664	0.6927	106.548	122.032	0.195756	0.6219
	hflX	76.7831	87.0374	0.180847	0.5978	10.9766	12.3174	0.166262	0.70115
	hfq	1897.59	2045.41	0.108223	0.76295	11793.4	10870.5	-0.117558	0.7844
	hha	89.2127	75.5407	-0.239995	0.5535	1658.19	1157.35	-0.518782	0.1928
	hinT	155.715	169.528	0.122619	0.7263	503.651	566.902	0.170675	0.66155
	hipA	5.24563	5.2293	-0.00449935	0.9904	7.84632	8.70804	0.150332	0.74185
	hipB	19.7786	22.7971	0.204909	0.6309	74.1783	70.8251	-0.0667373	0.8864
	hisA	21.6331	24.7398	0.193592	0.8163	7.45956	9.34811	0.325583	0.81565
	hisB	16.8135	18.5459	0.141479	0.8468	9.95759	10.2414	0.0405494	0.9676
	hisC	6.61099	6.88152	0.0578595	0.96415	2.8835	3.78373	0.391986	0.8233
	hisD	6.98232	7.6376	0.129414	0.9062	5.05834	4.66087	-0.118065	0.92435
	hisF	17.0799	17.8382	0.0626732	0.94535	9.35813	9.50825	0.0229597	0.9846
	hisG	6.91548	6.89258	-0.00478619	0.989	6.08294	5.4382	-0.161637	0.73975
	hisH	20.8089	24.5956	0.241197	0.8127	8.91104	12.4999	0.488245	0.73925
	hisI	22.4788	23.2949	0.0514506	0.9572	39.9134	44.9802	0.172415	0.7932
	hisJ	10.1709	9.8014	-0.0533912	0.88645	30.5708	28.5525	-0.0985364	0.81365
	hisM	5.90151	5.59229	-0.0776453	0.8769	1.42305	1.43877	0.0158493	0.98705
	hisP	5.54869	4.59245	-0.272884	0.50035	4.05846	4.40773	0.119104	0.8303
	hisQ	5.02059	4.82832	-0.0563344	0.9196	2.73182	1.43198	-0.931852	0.23105
	hisS	125.18	124.023	-0.0133949	0.96675	157.178	139.575	-0.171355	0.6691
	hiuH	2.13021	2.64311	0.311242	0.57285	12.3039	12.1191	-0.0218268	0.97095
	hlyE	0.382487	0.236594	-0.692997	0.34755	0.91119	0.57254	-0.670376	0.42545
	hmp	30.7677	32.9667	0.0995969	0.7801	113.964	116.487	0.031584	0.9354
	hns	1304.13	1074.53	-0.279376	0.4739	9582.58	9249.03	-0.0511117	0.9068
	hofB	5.79717	5.04641	-0.200093	0.65385	0.276886	0.372116	0.426461	0.68555
	hofC	3.10389	2.75035	-0.174462	0.7922	0.208623	0.105439	-0.984486	1
	hofM	4.16075	3.48086	-0.2574	0.71155	4.48469	4.83412	0.108245	0.861
	hofN	3.74996	2.27795	-0.719137	0.4987	1.30593	1.4293	0.130234	0.9455
	hofO	3.26733	2.77829	-0.233918	0.8579	0.669168	0.259221	-1.36819	0.67455
	hofP	4.35936	3.11779	-0.483593	0.6942	1.163	0.94495	-0.299547	0.90155
	hofQ	3.04819	2.46088	-0.308781	0.6228	0.435508	0.588744	0.434942	0.7662
	hokC	834.212	815.233	-0.0332018	0.92355	78.0543	69.5876	-0.165648	0.7341
	hokD	375.309	374.53	-0.0029984	0.993	40.5466	10.5094	-1.9479	0.1124
	hokE	19.8924	11.6319	-0.774131	0.30355	8.78959	5.86948	-0.582563	0.71055
	holA	59.0298	57.0457	-0.0493254	0.93295	12.7588	11.3909	-0.163601	0.8496
	holB	56.8357	48.3394	-0.233598	0.6691	21.7384	17.4635	-0.315904	0.6875
	holC	176.067	190.115	0.110754	0.94985	36.8144	32.5845	-0.176084	0.9444
	holD	144.368	136.485	-0.0810098	0.8551	88.0538	85.385	-0.0444021	0.9293
	holE	106.993	97.522	-0.133722	0.72855	507.817	486.931	-0.0605933	0.8793
	hpf	194.908	189.556	-0.0401677	0.91065	402.876	423.201	0.0710042	0.86265
	hpt	189.397	194.139	0.0356807	0.91765	607.215	632.774	0.0594822	0.8785
	hrpA	44.0993	41.9038	-0.0736764	0.8372	30.658	29.0474	-0.0778529	0.844
	hrpB	38.6158	36.8105	-0.0690752	0.84215	6.57537	7.01105	0.0925578	0.82285
	hscA	109.591	185.001	0.755409	4.66E-02	48.0919	190.431	1.9854	0.00005
	hscB	88.1926	150.491	0.770946	0.02815	48.3572	78.3758	0.696678	0.0968
	hscC	5.62688	5.1117	-0.138532	0.7169	2.63727	2.03389	-0.374806	0.46015
	hsdM	62.1981	60.0949	-0.0496274	0.90155	150.925	142.008	-0.0878591	0.8459
	hsdR	53.3063	58.4125	0.13197	0.7059	60.6235	73.4196	0.276287	0.48735
	hsdS	22.3339	22.2989	-0.00226488	0.9973	48.149	39.9789	-0.268267	0.7718
	hslJ	52.0433	60.8212	0.224862	0.6833	102.809	102.909	0.00138939	0.9984
	hslO	94.7227	112.772	0.251622	0.4722	406.285	406.598	0.0011119	0.9973
	hslR	124.689	134.268	0.106775	0.7583	43.8285	66.5154	0.601821	0.16905
	hslU	93.7191	112.504	0.263565	0.4628	259.715	315.204	0.279355	0.5021
	hslV	97.4195	110.047	0.175837	0.618	195.383	268.005	0.455954	0.26715
	hspQ	363.359	377.788	0.0561824	0.87405	138.274	124.733	-0.14869	0.7251
	hsrA	7.99691	6.83529	-0.22644	0.6866	1.85737	2.60595	0.488549	0.59105
	htpG	123.203	173.661	0.495239	0.20375	287.924	399.311	0.471824	0.302
	htpX	102.337	112.552	0.137266	0.6907	118.262	118.502	0.00292182	0.99415
	htrE	0.832252	0.58258	-0.514565	0.23325	0.394408	0.222782	-0.824055	0.2585
	hupA	3350.29	3536.45	0.0780124	0.83395	22832.6	22881.3	0.00307341	0.9953
	hupB	3019.12	3084.61	0.0309609	0.93275	15491.4	16343.4	0.077235	0.858
	hyaA	1.54137	1.23043	-0.325055	0.6236	0.195929	0.419454	1.09818	0.49695
	hyaB	1.41516	0.945787	-0.581379	0.2737	0.28758	0.255307	-0.171729	0.8568
	hyaC	2.47173	2.23594	-0.144642	0.8729	0.599483	0.239018	-1.3266	0.4158
	hyaD	5.98364	6.17448	0.045295	0.9435	0.279635	0.305277	0.126573	0.9371
	hyaE	5.50445	5.25502	-0.0669036	0.9417	1.24112	1.44431	0.218739	0.87045
	hyaF	3.01447	2.30167	-0.389224	0.59595	0.667944	0.477573	-0.484004	0.66835
	hybA	32.3261	32.5544	0.0101539	0.9896	8.92268	22.8218	1.35486	0.2037
	hybB	24.7026	25.1111	0.0236646	0.97735	3.89969	6.42354	0.720007	0.6573
	hybC	29.8732	32.6115	0.126531	0.83085	26.845	34.531	0.363241	0.46745
	hybD	52.2036	54.8258	0.0707041	0.94695	15.9821	17.8634	0.160548	0.9173
	hybE	47.9857	51.7024	0.107627	0.92505	4.21929	6.96989	0.724136	0.82735
	hybF	33.5297	33.2734	-0.0110697	0.9958	5.54764	6.83458	0.300978	0.93
	hybG	54.8777	52.0935	-0.0751172	0.84195	87.2296	68.947	-0.339329	0.4817
	hybO	46.21	40.027	-0.207233	0.55775	36.386	82.5201	1.18136	0.00415
	hycA	2.38168	1.511	-0.656469	0.23945	0.167779	0.309838	0.884952	1
	hycB	2.55275	1.60938	-0.665549	0.488	0.328395	0.166411	-0.980687	0.62225
	hycC	2.99984	1.87187	-0.680405	0.12075	0.115838	0.435173	1.90948	0.10405
	hycD	2.92257	2.17126	-0.428703	0.51855	0.440498	0.476819	0.114305	0.92735
	hycE	2.54555	1.95504	-0.380778	0.42445	0.241457	0.710232	1.55653	0.0829
	hycF	2.23516	1.79502	-0.316377	0.86775	0.686304	0.74526	0.118896	0.95445
	hycG	5.87887	5.78517	-0.0231786	0.97605	1.08059	0.750767	-0.525385	0.79655
	hycH	13.9881	15.0615	0.106656	0.8942	2.84465	3.1984	0.1691	0.9271
	hycI	34.3355	28.6774	-0.259784	0.59295	26.0867	19.7804	-0.399243	0.4287
